"";"volumeInfo.title";"volumeInfo.subtitle";"volumeInfo.authors";"volumeInfo.publisher";"volumeInfo.publishedDate";"volumeInfo.description";"volumeInfo.pageCount";"volumeInfo.printType";"volumeInfo.categories";"volumeInfo.maturityRating";"volumeInfo.allowAnonLogging";"volumeInfo.contentVersion";"volumeInfo.language";"volumeInfo.previewLink";"volumeInfo.infoLink";"volumeInfo.canonicalVolumeLink";"volumeInfo.averageRating";"volumeInfo.ratingsCount";"volumeInfo.readingModes.text";"volumeInfo.readingModes.image";"volumeInfo.imageLinks.smallThumbnail";"volumeInfo.imageLinks.thumbnail";"volumeInfo.panelizationSummary.containsEpubBubbles";"volumeInfo.panelizationSummary.containsImageBubbles"
"404";"Annales de la Société scientifique de Bruxelles";NA;"Société scientifique de Bruxelles";NA;"1877";"Issued 1927-36 in 4 series: A. Sciences mathématiques; B. Sciences physiques et naturelles; C. Sciences médicales; D. Sciences économiques; and Fascicule administratif. Issued 1937-46 in 3 series: 1. Sciences mathématiques et physiques; 2. Sciences naturelles et médicales; 3. Sciences économiques; 1947-91 in 1 series: 1. Sciences mathématiques, astronomiques et physiques.";NA;"BOOK";"Science";"NOT_MATURE";FALSE;"0.1.1.0.full.1";"fr";"http://books.google.fr/books?id=gAvjAX4hTeYC&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=404&source=gbs_api";"https://play.google.com/store/books/details?id=gAvjAX4hTeYC&source=gbs_api";"https://market.android.com/details?id=book-gAvjAX4hTeYC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=gAvjAX4hTeYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=gAvjAX4hTeYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"405";"Acta Academiae Scientiarum Imperialis Petropolitanae";NA;"Imperatorskai<U+0361>a akademii<U+0361>a nauk (Russia)";NA;"1786";NA;NA;"BOOK";"Science";"NOT_MATURE";FALSE;"2.2.1.0.full.1";"la";"http://books.google.fr/books?id=2fzQAAAAMAAJ&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=405&source=gbs_api";"https://play.google.com/store/books/details?id=2fzQAAAAMAAJ&source=gbs_api";"https://market.android.com/details?id=book-2fzQAAAAMAAJ";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=2fzQAAAAMAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=2fzQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"406";"Cahiers pour l'histoire du CNRS, 1939-1989";NA;"Elisabeth Pradoura";NA;"1990";NA;10;"BOOK";"Reference";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=iDAoAQAAIAAJ&dq=subject:Science&hl=&as_pt=BOOKS&cd=406&source=gbs_api";"http://books.google.fr/books?id=iDAoAQAAIAAJ&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Cahiers_pour_l_histoire_du_CNRS_1939_198.html?hl=&id=iDAoAQAAIAAJ";NA;NA;FALSE;FALSE;"http://books.google.com/books/content?id=iDAoAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api";"http://books.google.com/books/content?id=iDAoAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";NA;NA
"407";"ALCHIMISTES GRECS, LES";"T. IV, 1RE PARTIE : ZOSIME DE PANOPOLIS";"Michèle Mertens";NA;"1995-11-06";NA;NA;"BOOK";"Body, Mind & Spirit";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=CmNGAAAAYAAJ&dq=subject:Science&hl=&as_pt=BOOKS&cd=407&source=gbs_api";"http://books.google.fr/books?id=CmNGAAAAYAAJ&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/ALCHIMISTES_GRECS_LES.html?hl=&id=CmNGAAAAYAAJ";NA;NA;FALSE;FALSE;"http://books.google.com/books/content?id=CmNGAAAAYAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api";"http://books.google.com/books/content?id=CmNGAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";NA;NA
"408";"Mémoires de la Société Nationale des Sciences Naturelles Et Mathématiques de Cherbourg, 1905-1906, Vol. 35 (Classic Reprint)";NA;"L. Corbiére";"Forgotten Books";"2018-02-25";"Excerpt from Mémoires de la Société Nationale des Sciences Naturelles Et Mathématiques de Cherbourg, 1905-1906, Vol. 35 La Société nationale des Sciences naturelles de Cher bourg, fondée le 80 Décembre 1851, a été reconnue comme Établissement d'utilité publique par Décret en date du 26 Août 1865, et par Décret du 10 Juillet 1878, elle a été autorisée à.prendre le nom de Société nationale des Sciences naturelles et mathématiques. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.";536;"BOOK";"Science";"NOT_MATURE";FALSE;"preview-1.0.0";"en";"http://books.google.fr/books?id=V94ltAEACAAJ&dq=subject:Science&hl=&as_pt=BOOKS&cd=408&source=gbs_api";"http://books.google.fr/books?id=V94ltAEACAAJ&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/M%C3%A9moires_de_la_Soci%C3%A9t%C3%A9_Nationale_des.html?hl=&id=V94ltAEACAAJ";NA;NA;FALSE;FALSE;NA;NA;FALSE;FALSE
"409";"50 [i.e. Cinquante] années de découvertes, 1900-1950";"un bilan, dressé";"";NA;"1950";NA;357;"BOOK";"Art";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=ukGgAAAAMAAJ&dq=subject:Science&hl=&as_pt=BOOKS&cd=409&source=gbs_api";"http://books.google.fr/books?id=ukGgAAAAMAAJ&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/50_i_e_Cinquante_ann%C3%A9es_de_d%C3%A9couvertes.html?hl=&id=ukGgAAAAMAAJ";NA;NA;FALSE;FALSE;"http://books.google.com/books/content?id=ukGgAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api";"http://books.google.com/books/content?id=ukGgAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";NA;NA
"410";"La création du Bureau international des poids et mesures et son oeuvre";"ouvrage publié à l'occasion du cinquantenaire de sa fondation";"Charles-Édouard Guillaume";NA;"1927";NA;321;"BOOK";"Science";"NOT_MATURE";FALSE;"0.1.1.0.preview.0";"fr";"http://books.google.fr/books?id=xOVNAAAAMAAJ&dq=subject:Science&hl=&as_pt=BOOKS&cd=410&source=gbs_api";"http://books.google.fr/books?id=xOVNAAAAMAAJ&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/La_cr%C3%A9ation_du_Bureau_international_des.html?hl=&id=xOVNAAAAMAAJ";NA;NA;FALSE;FALSE;"http://books.google.com/books/content?id=xOVNAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api";"http://books.google.com/books/content?id=xOVNAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";NA;NA
"411";"Apollonius, Geminus, Heron, Ptolemaeus, and Theon in the Arabic tradition";"texts and studies";"Mazen Amawi,Carl Ehrig-Eggert,E. Neubauer";NA;"1998";NA;270;"BOOK";"Mathematics";"NOT_MATURE";FALSE;"preview-1.0.0";"en";"http://books.google.fr/books?id=PpA_AQAAIAAJ&dq=subject:Science&hl=&as_pt=BOOKS&cd=411&source=gbs_api";"http://books.google.fr/books?id=PpA_AQAAIAAJ&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Apollonius_Geminus_Heron_Ptolemaeus_and.html?hl=&id=PpA_AQAAIAAJ";NA;NA;FALSE;FALSE;"http://books.google.com/books/content?id=PpA_AQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api";"http://books.google.com/books/content?id=PpA_AQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";NA;NA
"412";"Exploration hydrobiologique du Lac Tanganika, 1946-1947";"Résultats scientifique";"Institut royal des sciences naturelles de Belgique";NA;"1952";NA;NA;"BOOK";"Nature";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=GMc_AQAAIAAJ&dq=subject:Science&hl=&as_pt=BOOKS&cd=412&source=gbs_api";"http://books.google.fr/books?id=GMc_AQAAIAAJ&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Exploration_hydrobiologique_du_Lac_Tanga.html?hl=&id=GMc_AQAAIAAJ";NA;NA;FALSE;FALSE;"http://books.google.com/books/content?id=GMc_AQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api";"http://books.google.com/books/content?id=GMc_AQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";NA;NA
"413";"Abstract of volunteer papers";NA;"";NA;"1977";NA;887;"BOOK";"Medical";"NOT_MATURE";FALSE;"preview-1.0.0";"en";"http://books.google.fr/books?id=PYVKAQAAIAAJ&dq=subject:Science&hl=&as_pt=BOOKS&cd=413&source=gbs_api";"http://books.google.fr/books?id=PYVKAQAAIAAJ&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Abstract_of_volunteer_papers.html?hl=&id=PYVKAQAAIAAJ";NA;NA;FALSE;FALSE;"http://books.google.com/books/content?id=PYVKAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api";"http://books.google.com/books/content?id=PYVKAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";NA;NA
"414";"Amphora";"";"Sergej S. Demidov";"Springer";"1992-01-01";NA;782;"BOOK";"Mathematics";"NOT_MATURE";FALSE;"preview-1.0.0";"de";"http://books.google.fr/books?id=Lawk4_YbgbcC&dq=subject:Science&hl=&as_pt=BOOKS&cd=414&source=gbs_api";"http://books.google.fr/books?id=Lawk4_YbgbcC&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Amphora.html?hl=&id=Lawk4_YbgbcC";NA;NA;FALSE;FALSE;"http://books.google.com/books/content?id=Lawk4_YbgbcC&printsec=frontcover&img=1&zoom=5&source=gbs_api";"http://books.google.com/books/content?id=Lawk4_YbgbcC&printsec=frontcover&img=1&zoom=1&source=gbs_api";NA;NA
"415";"Advances in operations research";"proceedings of EURO II, the Second European Congress on Operations Research, Stockholm, November 29-December 1, 1976";"Marc Roubens,Association of European Operational Research Societies";"North Holland";"1977";NA;667;"BOOK";"Business & Economics";"NOT_MATURE";FALSE;"preview-1.0.0";"en";"http://books.google.fr/books?id=e8IhAQAAIAAJ&dq=subject:Science&hl=&as_pt=BOOKS&cd=415&source=gbs_api";"http://books.google.fr/books?id=e8IhAQAAIAAJ&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Advances_in_operations_research.html?hl=&id=e8IhAQAAIAAJ";NA;NA;FALSE;FALSE;"http://books.google.com/books/content?id=e8IhAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api";"http://books.google.com/books/content?id=e8IhAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";NA;NA
"416";"Exploration hydrobiologique des lacs Kivu, Édouard et Albert, 1952-1954";"résultats scientifiques";"Institut royal des sciences naturelles de Belgique";NA;"1957";NA;NA;"BOOK";"Nature";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=QRFHAAAAYAAJ&dq=subject:Science&hl=&as_pt=BOOKS&cd=416&source=gbs_api";"http://books.google.fr/books?id=QRFHAAAAYAAJ&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Exploration_hydrobiologique_des_lacs_Kiv.html?hl=&id=QRFHAAAAYAAJ";NA;NA;FALSE;FALSE;"http://books.google.com/books/content?id=QRFHAAAAYAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api";"http://books.google.com/books/content?id=QRFHAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";NA;NA
"417";"Bi<U+FE20>u<U+FE21>lleten'";NA;"";NA;"1849";NA;NA;"BOOK";"Biology";"NOT_MATURE";FALSE;"0.1.1.0.full.1";"en";"http://books.google.fr/books?id=aioWAQAAIAAJ&pg=PP1&dq=subject:Science&hl=&as_pt=BOOKS&cd=417&source=gbs_api";"https://play.google.com/store/books/details?id=aioWAQAAIAAJ&source=gbs_api";"https://market.android.com/details?id=book-aioWAQAAIAAJ";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=aioWAQAAIAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=aioWAQAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"418";"1st European Conference on Cineradiography with Photons or Particles";NA;"Jacques Marilleau,Association nationale de la recherche technique,France. Commissariat à l'énergie atomique,Society of Photo-optical Instrumentation Engineers";"Society of Photo Optical";"1983-08";NA;308;"BOOK";"Science";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=r-FGAQAAIAAJ&dq=subject:Science&hl=&as_pt=BOOKS&cd=418&source=gbs_api";"http://books.google.fr/books?id=r-FGAQAAIAAJ&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/1st_European_Conference_on_Cineradiograp.html?hl=&id=r-FGAQAAIAAJ";NA;NA;FALSE;FALSE;"http://books.google.com/books/content?id=r-FGAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api";"http://books.google.com/books/content?id=r-FGAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";NA;NA
"419";"L'invention de la mécanique";"pouvoir et raison";"Isabelle Stengers";"Editions La Découverte";"1997";"Certaines idées hantent le paysage des sciences modernes, et y font office de véritables mots d'ordre, sources apparemment inépuisables de jugements arrogants, dont le sempiternel retour marque un contraste étonnant avec l'inventivité des pratiques scientifiques. Si nous pouvions accéder à la description, dans ses moindres détails, de l'état du système nerveux central en un moment donné, nous devrions pouvoir expliquer la production psychique en cet instant. Si la physique a pu progresser, c'est parce qu'elle s'est débarrassée de notions "" métaphysiques "", telle la causalité, pour s'attacher à sa seule mise en évidence de relations formelles, ou abstraites. Ces deux énoncés traduisent, sur deux modes différents, une définition de la rationalité scientifique qui la fait communiquer avec le pouvoir : pouvoir de réduire dans un cas, pouvoir d'abstraire dans l'autre. Et tous deux s'autorisent d'un précédent prestigieux : de la mécanique rationnelle de Lagrange et Hamilton à la mécanique quantique aujourd'hui, la physique semble bel et bien avoir conquis ce double pouvoir. D'où vient que la description mécanique ait pu effectivement faire rimer description et raison, abstraction et pouvoir ? D'où vient que la réalité apparaisse, dans ce cas, donner raison au pouvoir ? Quel est le prix de ce pouvoir ? Et comment a-t-il pu en venir à inspirer une véritable foi à ceux qui l'inventaient ? Et si l'histoire de l'invention de la mécanique, de Galilée à Poincaré, était l'histoire de poètes créateurs de fiction ? Et si le pouvoir de cette fiction faisait coïncider l'abstraction non avec la généralisation formelle mais avec la fabrication du singulier ? Le récit de l'invention de la mécanique pourrait, dans ce cas, constituer le meilleur antidote à la fascination qu'exerce le pouvoir de la physique.";131;"BOOK";"Mechanics";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=AnSBQgAACAAJ&dq=subject:Science&hl=&as_pt=BOOKS&cd=419&source=gbs_api";"http://books.google.fr/books?id=AnSBQgAACAAJ&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/L_invention_de_la_m%C3%A9canique.html?hl=&id=AnSBQgAACAAJ";NA;NA;FALSE;FALSE;NA;NA;NA;NA
